last_name, first_name,player_id,year,xba,out_zone_swing,in_zone_swing,
Hernandez, Gorkys,491676,2016,.253,34,76,
Sucre, Jesus,491696,2016,.333,13,31,
Graterol, Juan,492802,2016,.186,13,17,
Martinez, Michael,492841,2016,.192,66,133,
Aoki, Norichika,493114,2016,.225,207,593,
Kawasaki, Munenori,493128,2016,.164,8,34,
Lee, Dae-Ho,493193,2016,.253,186,406,
Cespedes, Yoenis,493316,2016,.281,405,625,
Gurriel, Yuli,493329,2016,.267,86,157,
Olivera, Hector,493343,2016,.158,9,25,
Ramirez, Alexei,493351,2016,.240,305,589,
Campbell, Eric,493472,2016,.185,42,120,
Beckham, Gordon,493596,2016,.225,128,347,
Colabello, Chris,499624,2016,.150,13,47,
Solarte, Yangervis,500208,2016,.243,289,513,
Rojas, Miguel,500743,2016,.232,141,261,
Escobar, Eduardo,500871,2016,.241,252,455,
Martinez, Jose,500874,2016,.421,14,22,
Adrianza, Ehire,501303,2016,.189,50,80,
Lagares, Juan,501571,2016,.256,103,181,
Almonte, Abraham,501659,2016,.237,121,256,
Kalish, Ryan,501888,2016,.378,11,10,
Freese, David,501896,2016,.239,291,625,
Davis, Khris,501981,2016,.248,339,871,
Hunter, Cedric,501986,2016,.170,29,40,
Norris, Bud,502032,2016,.236,18,42,
Burriss, Emmanuel,502034,2016,.189,33,59,
Locke, Jeff,502046,2016,.074,12,36,
Pham, Tommy,502054,2016,.226,82,237,
Chisenhall, Lonnie,502082,2016,.249,347,555,
Presley, Alex,502100,2016,.214,73,181,
Martinez, J.D.,502110,2016,.292,331,728,
Valencia, Danny,502143,2016,.275,309,582,
Clevenger, Steve,502182,2016,.232,27,93,
Samardzija, Jeff,502188,2016,.138,41,92,
Leake, Mike,502190,2016,.162,37,84,
Green, Grant,502205,2016,.239,44,62,
Reddick, Josh,502210,2016,.275,239,518,
Gentry, Craig,502226,2016,.180,13,58,
Cahill, Trevor,502239,2016,.098,8,12,
Gillespie, Cole,502261,2016,.213,22,78,
Freeman, Mike,502273,2016,.238,13,36,
Ladendorf, Tyler,502285,2016,.122,19,59,
Heisey, Chris,502317,2016,.200,62,204,
Dyson, Jarrod,502481,2016,.249,126,429,
Murphy, Daniel,502517,2016,.313,346,610,
O'Malley, Shawn,502523,2016,.184,99,320,
Buss, Nick,502544,2016,.205,63,117,
Schafer, Logan,502582,2016,.207,41,82,
Anderson, Chase,502624,2016,.086,35,73,
Goldschmidt, Paul,502671,2016,.268,339,819,
Figueroa, Cole,502676,2016,.188,15,28,
Lalli, Blake,503351,2016,.262,5,20,
Beresford, James,503437,2016,.164,10,38,
De La Cruz, Joel,503444,2016,.134,10,22,
Peralta, Wily,503449,2016,.169,19,52,
Gonzalez, Marwin,503556,2016,.222,362,580,
Nicasio, Juan,504379,2016,.119,12,29,
Amarista, Alexi,506560,2016,.255,85,174,
Leon, Sandy,506702,2016,.235,204,317,
Pena, Francisco,506747,2016,.138,24,49,
Cardullo, Stephen,506924,2016,.209,52,92,
Altuve, Jose,514888,2016,.313,417,785,
Tejada, Ruben,514913,2016,.187,34,106,
Hernandez, Cesar,514917,2016,.254,292,801,
Segura, Jean,516416,2016,.267,400,865,
Castro, Starlin,516770,2016,.260,399,763,
Marte, Starling,516782,2016,.277,407,674,
Lake, Junior,516809,2016,.284,21,57,
Sanchez, Hector,516949,2016,.299,44,73,
Pirela, Jose,517369,2016,.219,21,44,
Paredes, Jimmy,517370,2016,.217,166,192,
Bettis, Chad,518452,2016,.097,25,68,
Blash, Jabari,518466,2016,.150,37,125,
Brentz, Bryce,518490,2016,.186,39,72,
Bumgarner, Madison,518516,2016,.149,50,134,
Centeno, Juan,518542,2016,.217,117,229,
Clemens, Paul,518560,2016,.061,15,29,
Colon, Christian,518568,2016,.207,89,178,
Cowgill, Collin,518577,2016,.099,10,16,
Culberson, Charlie,518586,2016,.226,42,81,
d'Arnaud, Travis,518595,2016,.237,120,366,
Descalso, Daniel,518614,2016,.257,113,354,
Dietrich, Derek,518618,2016,.251,264,488,
Dominguez, Matt,518625,2016,.165,7,12,
Donaldson, Josh,518626,2016,.275,374,858,
Eibner, Brett,518649,2016,.211,95,301,
Elmore, Jake,518653,2016,.209,29,126,
Freeman, Freddie,518692,2016,.276,459,963,
Fryer, Eric,518700,2016,.231,44,206,
Grandal, Yasmani,518735,2016,.227,223,537,
Harvey, Matt,518774,2016,.138,15,38,
Heyward, Jason,518792,2016,.249,276,670,
LeMahieu, DJ,518934,2016,.332,290,790,
Lough, David,518953,2016,.223,56,77,
Lucroy, Jonathan,518960,2016,.269,306,630,
Mastroianni, Darin,518991,2016,.053,5,13,
Mesoraco, Devin,519023,2016,.218,28,60,
Middlebrooks, Will,519025,2016,.178,21,27,
Moore, Matt,519043,2016,.068,20,41,
Moreland, Mitch,519048,2016,.252,366,592,
Moustakas, Mike,519058,2016,.265,60,137,
Nelson, Jimmy,519076,2016,.047,26,76,
Noonan, Nick,519082,2016,.162,9,25,
Norris, Derek,519083,2016,.223,215,632,
Pomeranz, Drew,519141,2016,.103,32,52,
Revere, Ben,519184,2016,.218,167,363,
Rizzo, Anthony,519203,2016,.258,440,753,
Robinson, Clint,519208,2016,.213,116,250,
Romine, Austin,519222,2016,.232,105,243,
Rupp, Cameron,519237,2016,.232,230,525,
Smolinski, Jake,519295,2016,.259,166,370,
Souza Jr., Steven,519306,2016,.225,244,670,
Stanton, Giancarlo,519317,2016,.234,339,525,
Szczur, Matt,519333,2016,.228,111,300,
Vogt, Stephen,519390,2016,.256,327,638,
Wilkins, Andy,519421,2016,.159,17,38,
Worth, Danny,519445,2016,.248,12,51,
Galvis, Freddy,520471,2016,.223,487,753,
Perez, Salvador,521692,2016,.236,433,595,
Forsythe, Logan,523253,2016,.270,206,725,
De La Rosa, Rubby,523989,2016,.062,7,21,
Flores, Wilmer,527038,2016,.244,194,460,
Marte, Jefry,527043,2016,.243,147,346,
Teheran, Julio,527054,2016,.222,31,72,
Holt, Tyler,534627,2016,.211,121,254,
Adleman, Tim,534947,2016,.137,16,29,
Nava, Daniel,537953,2016,.241,64,192,
Cabrera, Ramon,541608,2016,.219,118,205,
Garcia, Avisail,541645,2016,.257,356,586,
Perez, Hernan,541650,2016,.245,297,520,
Bethancourt, Christian,542194,2016,.229,171,257,
Perez, Carlos,542208,2016,.219,175,317,
Inciarte, Ender,542255,2016,.259,333,650,
Ozuna, Marcell,542303,2016,.272,372,672,
Villar, Jonathan,542340,2016,.230,319,899,
Ortega, Rafael,542364,2016,.256,126,220,
Adames, Cristhian,542436,2016,.218,142,316,
Santana, Danny,542454,2016,.226,186,315,
Arcia, Oswaldo,542455,2016,.208,184,274,
Telis, Tomas,542513,2016,.142,4,13,
Anderson, Tyler,542881,2016,.130,24,58,
Bandy, Jett,542908,2016,.224,152,321,
Beckham, Tim,542921,2016,.216,128,295,
Broxton, Keon,542979,2016,.218,126,333,
Burns, Billy,542993,2016,.225,167,399,
Chatwood, Tyler,543022,2016,.171,19,74,
Cole, Gerrit,543037,2016,.154,20,58,
Conley, Adam,543045,2016,.082,32,55,
Cosart, Jarred,543054,2016,.189,11,18,
Crawford, Brandon,543063,2016,.242,380,822,
Cron, C.J.,543068,2016,.264,296,558,
Decker, Jaff,543094,2016,.202,33,75,
DeSclafani, Anthony,543101,2016,.165,23,59,
Dickerson, Alex,543105,2016,.269,152,378,
Federowicz, Tim,543148,2016,.206,22,45,
Friedrich, Christian,543184,2016,.067,16,54,
Giavotella, Johnny,543213,2016,.270,158,431,
Gillaspie, Conor,543216,2016,.256,134,240,
Gomes, Yan,543228,2016,.206,159,362,
Gose, Anthony,543238,2016,.176,52,130,
Grossman, Robbie,543257,2016,.250,157,454,
Harrison, Josh,543281,2016,.232,327,711,
Hendricks, Kyle,543294,2016,.149,37,91,
Herrmann, Chris,543302,2016,.244,105,226,
Hicks, Aaron,543305,2016,.230,172,460,
Hood, Destin,543329,2016,.167,23,30,
